id;id_mapel;nama_mapel
;401240000;Sosiologi
;401251010;Dasar-dasar Perbankan
;401251020;Akuntansi Perusahaan Dagang
;401251021;Akuntansi Perusahaan Jasa
;401251030;Akuntansi Keuangan
;401251040;Komputer Akuntansi 
;401251050;Akuntansi Perusahaan Manufaktur
;401251060;Administrasi Pajak
;401251070;Pengelolaan Kas
;401251080;Layanan Lembaga Keuangan Non Bank
;401251090;Layanan Perbankan
;401251101;Akuntansi Perbankan
;401251102;Komputer Akuntansi Perbankan
;401251103;Produk Syariah
;401251104;Ekonomi Islam
;401251105;Akuntansi Perbankan Syariah
;401251106;Komputer Akuntansi Perbankan Syariah
;401251109;Analisa dan Riset Pasar
;401251110;Perencanaan Pemasaran
;401251120;Layanan Lembaga Keuangan Syariah
;401251130;Layanan Lembaga Perbankan dan Keuangan Mikro
;401251150;Praktikum Akuntansi Perusahaan Jasa, Dagang dan Manufaktur
;401251160;Pengelolaan Kas
;401251170;Akuntansi Dasar
;401251180;Praktikum Akuntansi Lembaga/Instansi Pemerintah
;401251190;Akuntansi Perbankan dan Keuangan Mikro
;401251200;Pengelolaan Usaha Pemasaran
;401251210;Strategi Pemasaran
;401251220;Paket Program Pengolah Angka/Spreadsheet
;401251221;Aplikasi Pengolah Angka/Spreadsheet
;401251230;Pemasaran On_Line
;401251240;Pengelolaan Bisnis Ritel
;401251300;Marketing
;401251310;Prinsip-Prinsip Bisnis
;401251320;Pengetahuan Produk
;401251330;Penataan Barang Dagangan
;401251340;Komunikasi Bisnis
;401251350;Administrasi Barang
;401251360;Administrasi Transaksi
;401251370;Pelayanan Penjualan
;401251380;Penataan Produk
;401251400;Perencanaan Bisnis
;401251500;Bisnis Online
;401251600;Pengemasan dan Pengiriman Produk
;401251610;Customer Service
;401251620;Pengelolaan Bisnis Ritel
;401251630;Visual Merchandising
;401260000;Antropologi
;500010000;Pendidikan Jasmani, Olahraga, dan Kesehatan
;500050000;Bimbingan dan Konseling/Konselor (BP/BK)
;600060000;Prakarya dan Kewirausahaan
;600070100;Produk Kreatif dan Kewirausahaan
;600090000;Pelayanan Prima
;700115000;Desain Grafis
;700115100;Desain Grafis Percetakan
;700116000;Fotografi
;800010100;Kesehatan Masyarakat
;800010101;Dasar-dasar Komunikasi
;800010121;Melaksanakan dasar-dasar KIE (Kom., Informasi, & Edukasi)
;800010122;Melaksanakan pekerjaan dalam lingkup pekerjaan yang berbeda
;800010123;Menjelaskan dasar-dasar penyakit
;800010124;Melaksanakan uji laboratorium
;800010125;Melaksanakan penanganan bahan & reagen laboratorium
;800010126;Melakukan pemeriksaan urin, faeces & cairan tubuh lainnya
;800010127;Melak. Pemerik. hematologi bakt.parasitologi & non patoogis
;800010128;Menjelaskan transfusi darah & bank darah
;800010129;Menganalisis data hasil pemeriksaan
;800010130;Menerapkan kontrol kualitas prosedur laboratorium
;800010131;Melakukan promosi kesehatan
;800020300;Tumbuh Kembang Manusia
;800020400;Pengantar Ilmu Penyakit dan Penunjang Medis
;800020410;Ilmu Penyakit dan Penunjang Diagnostik
;800020500;Ilmu Kesehatan Masyarakat
;800020600;Komunikasi Keperawatan
;800020700;Konsep Dasar Keperawatan
;800030100;Dasar-dasar Kefarmasian
;800030101;Menerapkan dasar2 kimia, kefarmasian & kesehatan masyarakat
;800030102;Menjelaskan CPOB, CPKB, & CPOTB
;800030103;Melaksanakan kerja sama dengan kolega & pelanggan
;800030104;Melakukan pekerjaan di laboratorium resep
;800030105;Menjelaskan dasar-dasar penyakit & farmakologi
;800030106;Membt sediaan obat sesuai resep dktr di bwh pengwsn apoteker
;800030107;Menerapkan manajemen & administrasi di bi&g farmasi
;800030108;Menerapkan akuntansi dalam bi&g farmasi
;800030109;Membuat obat tradisional & fitofarmaka
;800030110;Menerapkan distribusi berbagai jenis sediaan obat
;800030200;Pengujian dan Pengendalian Mutu Produk
;800030201;Menjelaskan dasar-dasar pembuatan & pengemasan sediaan obat
;800030202;Menerapkan sistem mutu dalam kontrol kualitas produk farmasi
;800030203;Menerapkan perencanaan produksi & pengendalian inventory
;800030204;Melakukan manajemen pergu&gan & distribusi
;800030205;Melakukan monitoring barang kadaluwarsa & pemusnahannya
;800030206;Melakukan penarikan kembali obat jadi
;800030207;Menjelaskan penelitian & pengembangan produk
;800030208;Melaksanakan sistem dokumentasi farmasi industri
;800030300;Manajemen Bahan
;800030400;Pengelolaan Produksi Obat
;800030500;Teknologi Pengemasan Obat
;800050201;Menjelaskan dasar-dasar keperawatan & pelayanan kesehatan
;800050202;Melaksanakan pemberian obat & nutrisi kepd klien/pasien
;800050203;Mengidentifikasi jenis pemerik. lab dsr yg diperlukan pasien
;800050204;Mengasuh bayi, balita, anak, & lansia sesuai tngkt perkemb.
;800050205;Melaksanakan pelayan klien/pasien berpenyakit ringan
;800050206;Menerapkan komunikasi interpersonal, massa & terapeutik
;800050207;Menjelaskan tahapan perkembangan srt kebutuhan dasar manusia
;800050208;Menjelaskan kesehatan reproduksi
;800050209;Melakukan pemeriksaan tanda-tanda vital
;800050210;Melakukan mobilisasi pasif terhadap klien/pasien
;800050211;Melaksanakan dokumentasi tindakan keperawatan
;800050212;Menerapkan etika keperawatan & kaidah hukum keperawatan
;800050300;Administrasi Keperawatan
;800050400;Keterampilan Kebutuhan Dasar Manusia
;800050410;Kesehatan Reproduksi
;800050420;Kebutuhan Dasar Manusia
;800050430;Keterampilan Dasar Tindakan Keperawatan
;800060301;Menjelaskan dasar2 keperawatan & pelayanan kesehatan gigi
;800060302;Melak.surveilan epidemiologi penyakit gigi & mlt di masy.
;800060303;Memelihara berbagai bahan & obat-obatan di klinik
;800060304;Berkomunikasi dgn pasien, masy & tenaga medik/paramedik lain
;800060305;Melakukan diagnosis berbagai penyakit gigi & mulut
;800060306;Menerapkan praktik keperawatan gigi 
;800060307;Melaksanakan penatalaksanaan kedaruratan gigi & mulut
;800060308;Melaksanakan pekerjaan laboratoris gigi
;800060309;Menjelaskan penggunaan herbal dalam keperawatan
;800060310;Menjelaskan ilmu gizi dalam lingkup keperawatan
;800060311;Menerapkan swamedikasi
;800060600;Oral Diagnostik
;800060700;Pendidikan Kesehatan Gigi
;800060900;Farmakologi, Peralatan dan Perawatan Gigi
;800060910;Asistensi Kesehatan Gigi
;800060920;Asistensi
;800061000;Dasar-dasar Ilmu Kedokteran Gigi
;800061100;Farmakologi Bahan dan Obat Kedokteran Gigi
;800061200;Manajemen Kesehatan Gigi dan Mulut
;800061300;Alat Kesehatan Gigi,Pencegahan dan Pengendalian Penyakit
;800061400;Kegawatdaruratan Umum, Gigi, dan Mulut
;800061500;Komunikasi Interpersonal dan Penjaminan mutu
;800070100;Anatomi dan Fisiologi
;800070200;Anatomi Fisiologi
;800080200;Laboratorium Dasar
;800080210;Ilmu Keperawatan
;800080220;Laboratorium Kesehatan Dasar
;800080230;Dasar Manajemen Laboratorium Dan Kesehatan Lingkungan
;800081000;Histologi
;800081100;Imunoserologi
;800081200;Kimia Klinik
;800081300;Mikrobiologi Kesehatan
;800090100;Perlindungan Khusus
;800090200;Perundang-undangan Kesehatan
;800100100;Psikologi
;801010100;Hukum Kesejahteraan Sosial
;801030100;Kontak dengan Klien dan Lingkungan Sosial
;801030200;Masalah Sosial
;801030300;Keterampilan Teknis Perawatan Sosial
;801030301;Melakukan kerja sama dengan berbagai jenis klien
;801030302;Melakukan kerja sama di lingkungan sosial klien
;801030303;Melakukan pencatatan, pelaporan & temu bahas kasus
;801030304;Menerapkan kode etik pekerjaan sosial
;801030305;Menjelaskan dasar-dasar pekerjaan sosial
;801030306;Menerapkan teknik-teknik pekerjaan sosial
;801030307;Menerapkan prosedur pelayanan di lembaga pelayanan sosial
;801030308;Melakukan asesmen
;801030309;Melaksanakan intervensi
;801030310;Melakukan terminasi (pengakhiran hubungan kerja)
;801030311;Melakukan referal 
;801030400;Metode Perawatan Sosial
;801030500;Praktikum Perawatan Sosial
;801030600;Gerontik
;801030700;Konseling Lanjut Usia dan keluarga
;801030800;Rehabilitasi Sosial Adiksi korban NAPZA
;801030900;Terapi Lanjut Usia
;801031000;Pemberdayaan Lanjut Usia
;801031100;Pengasuhan dan Advokasi Anak
;801031200;Perawatan dan Pelayanan Lansia
;801031300;Rehabilitasi Sosial Disabilitas
;801031400;Pengetahuan Dasar Pekerjaan Sosial
;801031500;Keterampilan Teknis Pekerjaan Sosial
;801031600;Pelayanan Kesejahteraan Sosial
;801040110;Gerontologi
;801040200;Kesehatan Mental dan Ketidakmampuan Lanjut Usia
;801040300;Komunikasi dan Relasi
;801040400;Psikososial Lanjut Usia
;801050100;Kewirausahaan
;802000100;KKPI
;802000300;Teknologi Informasi dan Komunikasi
;802000400;Sistem Komputer
;802000500;Sistem Operasi
;802010100;Pemrograman Dasar
;802010200;Pemrograman WEB
;802010300;Pemrogram Desktop
;802010400;Pemrograman Berorientasi Obyek
;802010500;Pemrogram WEB Dinamis
;802010600;Pemrogram Grafik
;802010700;Pemrograman Perangkat Bergerak
;802010710;Pemrograman Web dan Perangkat Bergerak
;802010900;Teknik Pemrograman
;802011000;Kerja Proyek Teknik Komputer dan Jaringan
;802011001;Melakukan ins. PC
;802011002;Menjelaskan teknik elektronika analog & digital dasar
;802011003;Melakukan perbaikan periferal
;802011004;Melakukan perawatan,perbaikan & atau setting ulang sistem PC
;802011005;Melakukan ins. sistem operasi & aplikasi berbasis GUI & CLI
;802011006;Melakukan ins., perawatan & perbaikan perangkat LAN
;802011007;Melakukan ins. sistem operasi jaringan berbasis GUI & CLI
;802011008;Melakukan ins., perawatan & perbaikan perangkat WAN
;802011009;Merancang sistem keamanan jaringan
;802011010;Melakukan administrasi server dalam jaringan
;802011011;Merancang data base untuk web content server
;802020100;Perakitan Komputer
;802020200;Jaringan Dasar
;802020210;Komputer dan Jaringan Dasar
;802020300;Pemodelan Perangkat Lunak
;802020301;Menjelaskan algoritma pemrograman
;802020302;Membuat paket soft aplikasi berbasis desktop tingkat dasar
;802020303;Membuat paket soft aplikasi berbasis desktop tingkat lanjut
;802020304;Mengoperasikan sistem operasi jaringan komputer
;802020305;Melakukan pemrograman basis data (SQL)
;802020306;Membuat halaman web statis
;802020307;Membuat halaman web dinamis tingkat dasar
;802020308;Membuat halaman web dinamis tingkat lanjut
;802020309;Melakukan pemrog. b.orientasi obj berbasis teks deskt & web
;802020400;Basis Data
;802020500;Administrasi Basis Data
;802020510;Kerja Proyek Teknik Rekayasa Perangkat Lunak
;802020600;Komputer Terapan
;802020700;Komunikasi Data
;802020800;Sistem Operasi Jaringan
;802020900;Administrasi Server
;802020910;Administrasi Infrastruktur Jaringan
;802020920;Administrasi Sistem Jaringan
;802021000;Rancang Bangun Jaringan
;802021100;Jaringan Nirkabel
;802021200;Keamanan Jaringan
;802021300;Troubleshooting Jaringan
;802021800;Teknologi Jaringan Berbasis Luas (WAN)
;802021900;Teknologi Layanan Jaringan
;802030100;Desain Grafis
;802030110;Dasar Desain Grafis
;802030300;Simulasi Digital
;802030310;Simulasi dan Komunikasi Digital
;802030400;Menggabar dengan Komputer
;802030410;Desain Interior Kapal dengan CAD
;802030601;Melakukan ins. personal `computer
;802030602;Menjelaskan dasar-dasar multimedia
;802030603;Mendesain & mengelola isi halaman web
;802030604;Melakukan pengambilan gambar video
;802030605;Membuat animasi digital
;802030606;Melakukan pengolahan gambar digital
;802030607;Melakukan editing audio
;802030608;Melakukan editing video
;802030609;Menyusun proposal penawaran projek multimedia
;802030900;Desain Multimedia
;802031000;Pengolahan Citra Digital
;802031100;Teknik Animasi 2 Dimensi
;802031101;Memahami dasar-dasar animasi
;802031102;Menggambar (life drawing)
;802031103;Mengoperasikan komputer grafis & animasi
;802031104;Melakukan pra produksi animasi
;802031105;Memproduksi animasi 2D
;802031106;Memproduksi animasi 3D
;802031107;Melakukan produksi media
;802031108;Melakukan pembuatan game sederhana
;802031110;Animasi 2D
;802031200;Teknik Animasi 3 Dimensi
;802031210;Animasi 3D
;802031300;Komposisi Foto Digital
;802031400;Teknik Pengambilan Gambar Bergerak
;802031500;Teknik Pengolahan Audio
;802031501;Menerapkan keselamatan, kesehatan kerja (K3)
;802031502;Menerapkan dasar2 kelistrikan, elektronika & teknik digital
;802031503;Melakukan ins. sound system
;802031504;Membuat rekaman audio di studio
;802031505;Memperbaiki radio penerima,compact kaset recorder &CD player
;802031506;Memperbaiki sistem penerima televisi
;802031507;Memperb. alat reprod. sinyl audio video compact kaset & CD
;802031508;Melakukan konversi cassette ke CD
;802031509;Melakukan ins. & perawatan home theater
;802031510;Melakukan ins. & perawatan video game
;802031511;Membuat dokumentasi video
;802031512;Melakukan ins. sistem audio video CCTV
;802031513;Melakukan ins. peralatan audio video mobil
;802031600;Teknik Pengolahan Vidio
;802031700;Desain Multimedia Interaktif
;802031710;Kerja Proyek Multimedia
;802031800;Videography
;802031900;Animasi 2 dimensi dan 3 dimensi
;802031910;Digital Animasi
;802031920;Digital Prosesing
;802032100;Game Edukasi
;802032110;Teknologi Pengolahan Audio dan Video
;802032200;Fotografi
;802032300;Komputer Grafis
;802032400;Videografi
;802032500;Karya Desain Komunikasi Visual
;802032501;Mengoperasikan komputer grafis
;802032502;Melaksanakan proses pekerjaan fotografi
;802032503;Mempersiapkan, melaksankn & mempross hsl shooting videografi
;802032504;Mempersiapkan pembuatan produk desain komunikasi visual
;802032505;Membuat produk desain komunikasi teknik saring
;802032506;Membuat produk desain komunikasi mengrh ke media ind&outdoor
;802032507;Membuat produk desain kom.visual mengrh ke media televisi
;802032508;Melakukan paska produksi desain kom. visual (post design)
;802032509;Melaksanakan pameran hasil karya desain komunikasi visual
;802032600;Sablon (Screen Printing)
;802032700;Menggambar dengan Perangkat Lunak
;802032800;Desain Publikasi
;802032900;Design media interaktif
;802033100;Teknik animasi 2D dan 3D
;802033200;Animasi
;802040100;Teknologi Penyiaran
;802040200;Perekaman
;802040300;Editing
;802040400;Pengetahuan Broadcasting
;802040500;Susun Huruf Komputer
;802040700;Komunikasi Massa
;802040800;Produksi Audio Visual
;802040900;Dasar Seni Audio Visual
;803010100;Teknik Elektronika Dasar
;803010200;Teknik Microprosessor
;803010300;Dasar Listrik dan Elektronika
;803010400;Elektronika dan Microprosesor
;803020400;Sistem Telekomunikasi
;803020401;Dasar Sistem Telekomunikasi
;803020501;Memahami teknik dasar elektronika analog &digital serta kom.
;803020502;Menerapkan dasar-dasar komunikasi siaran radio
;803020503;Membuat program siaran radio
;803020504;Melaksanakan siaran radio on-air
;803020505;Melaksanakan jurnalisme radio
;803020506;Melaksanakan program musik
;803020507;Merancang program cerita radio
;803020508;Merancang jadwal produksi harian/running sheet
;803020700;Sistem Komunikasi Satelit
;803020900;Sistem Komunikasi Bergerak/Seluler
;803021100;PABX
;803021200;Transmisi Broadband NGN
;803021300;Sistem Manajemen Jaringan
;803021400;Sistem Transmisi Backbone
;803021500;Kerja Proyek Telekomunikasi
;803021600;Operasi dan Pemeliharaan Jaringan Utama
;803021700;Operasi dan Pemeliharaan Transmisi Kabel Laut
;803021800;Operasi dan Pemeliharaan Transmisi Radio
;803021900;Operasi dan Pemeliharaan Transmisi Satelit
;803030400;Multiplexing PDH dan SDH
;803030501;Menerapkan prosedur kerja transmisi telekomunikasi
;803030502;Memahami dasar-dasar sistem telekomunikasi
;803030503;Melakukan ins. perangkat terminal & jaringan telekomunikasi 
;803030504;Melakukan ins. sistem pentanahan (grounding) & pengaman 
;803030505;Melakukan ins. PSTN
;803030506;Melakukan ins., mengoperasikan & memelihara PABX
;803030507;Mengoperasikan & memelihara sentral telepon digital
;803030508;Melakukan ins., mengoperasikan & memelihara softswitch
;803030509;Membuat perencanaan jaringan & kebutuhan layanan komunikasi
;803030510;Melakukan ins., mengop.n & memelihara sentral telpn seluler
;803040400;Teknik Instalasi Jaringan Akses Radio (JARLOKAR)
;803040500;Teknik Instalasi Jaringan Akses Tembaga (JARLOKAT)
;803040700;Operasi dan Pemeliharaan Jaringan Akses Pelanggan
;803040800;Teknik Instalasi Jaringan Akses Fiber (JARLOKAF)
;803041000;Instalasi VOIP
;803041100;Pengukuran Trafik Telekomunikasi
;803041200;Networking NGN
;803041300;Instalasi di Pelanggan (CPE)
;803041400;Instalasi VSAT
;803041500;Merancang Jaringan Akses Telekomunikasi
;803041501;Menerapkan teknis projek telekomunikasi
;803041502;Menjelaskan dasar2 sistem telekomunikasi&komunikasi data
;803041503;Melakukan ins. catu daya & batere sistem telekomunikasi
;803041504;Melakukan ins. kabel rumah/gedung
;803041505;Melakukan ins. jaringn tembaga multipair ats tanah & bwh tnh
;803041506;Melakukan ins. di terminal jaringan akses tembaga multipair
;803041507;Melakukan ins. perangkat pendukung di jaringan akses tembaga
;803041508;Mengoperasikan & memelihara jaringan wireless broadband
;803041509;Melakukan ins. jaringan akses serat optik
;803041510;Menjelaskan arsitektur jaringan selular
;803041511;Melakukan ins. antena & feeder pd jaringan akses wireless
;803041512;Melaksanakan ins. antena VSAT
;803041513;Melakukan ins. di terminal milik pelanggan (CPE)
;803041600;Kerja Proyek Work Telekomunikasi
;803041700;Layanan Komputasi Awan (SaaS)
;803041800;Platform Komputasi Awan (PaaS)
;803041900;Sistem Internet of Things (SloT)
;803042000;Sistem Keamanan Jaringan
;803042100;Instalasi dan Konfigurasi CPE
;803042200;Instalasi dan Pemeliharaan VSAT
;803042300;Instalasi Jaringan FTTH
;803042400;Koneksi Jaringan Telekomunikasi
;803042500;Infrastruktur Komputasi Awan (IaaS)
;803050100;Pengetahuan Listrik, Elektronika dan Digital
;803050101;Menerapkan dasar-dasar teknik mesin
;803050102;Melaksanakan pengukuran besaran listrik & gambar teknik
;803050103;Melakukan pekerjaan bengkel elektronika
;803050104;Mengoperasikan mesin perkakas powertool & konvensional
;803050105;Mengoperasikan sensor
;803050106;Mengoperasikan peralatan elektronik & kelistrikan
;803050107;Mengoperasikan peralatan pneumatik & hidrolik
;803050108;Mengoperasikan Programmable Logic Controller (PLC)
;803050200;Pekerjaan Dasar Elektromekanika
;803050300;Rangkaian Elektronika
;803050400;Penerapan Rangkaian Elektronika
;803060100;Perencanaan dan Instalasi Sistem Audio
;803060200;Perekayasaan Sistem Audio
;803060300;Perekayasaan Sistem Radio dan Televisi
;803060301;Menjelaskan dasar-dasar teknologi TV
;803060302;Melakukan pembuatan naskah/skenario drama & non drama
;803060303;Melakukan manajemen produksi
;803060304;Melakukan penataan artistik
;803060305;Menggunakan peralatan tata cahaya
;803060306;Menggunakan peralatan audio 
;803060307;Mengoperasikan kamera foto
;803060308;Mengoperasikan kamera video
;803060309;Merancang koordinasi produksi program acara
;803060310;Melakukan editing
;803060400;Perekayasaan Sistem Atena
;803060500;Perencanaan dan Instalasi Sistem Atena Penerima
;803060600;Perbaikan dan Perawatan Peralatan Elektronika A.V
;803060700;Perencanaan Sistem Komunikasi
;803060800;Penerapan Sistem Radio dan Televisi
;803060900;Perawatan dan Perbaikan Peralatan Audio dan Video
;803061000;Perencanaan dan Instalasi Sistem Audio Video
;803061100;Editing Audio dan Video
;803070100;Komunikasi Data dan Interface
;803070200;Sensor dan Akuator
;803070300;Perekayasaan Sistem Kontrol
;803070310;Sistem Pengendali Elektronik
;803070400;Perekayasaan Sistem Robotik
;803070700;Pembuatan dan Pemeliharaan Peralatan Elektronik
;803070800;Mikroprosesor dan Mikrokontroler
;803070810;Teknik Pemrograman, Mikroprosesor dan Mikrokontroler
;803070900;Pembuatan , Perbaikan dan PemeliharaanPeralatan Elektronika
;803071000;Pengendali Sistem Robotik
;803071100;Instalasi dan Perbaikan Sistem Komunikasi digital& teknologi komunikasi bergerak
;803071200;Instalasi dan Perbaikan Sistem Televisi
;803071300;Penerapan Rangkaian Elektronika daya dan komunikasi
;803071400;PenerapanSistem Transmisi Gelombang Elektromagnetik
;803071500;Instalasi dan Perbaikan Perangkat dan Media Transmisi Elektronika
;803080200;Perencanaan dan Instalasi Sistem Pemancar
;803080300;Perencanaan & Instalasi Atena Pemancar &Penerima
;803080400;Perbaikan & Prwtn Peralatan Elektronika Komunikasi
;803080501;Menjelaskan dasar-dasar sistem telekomunikasi
;803080502;Melaksanakan peker.ins. pd panel koneksi di ruangtransmisi
;803080503;Melaksanakan pekerjaan ins. antena & perangkat pendukungnya
;803080504;Melaksanakan penyambungan kabel serat optik
;803080505;Menerapkan ins. perangkat radio & pendukungnya
;803080506;Menjelskan teknik pekerj ins & prosdr multiplekser PDH & SDH
;803080507;Melaksanakan ins. antena & feeder di base station
;803080508;Menerapkan prosdr pengujian perngkat kras & lunak terbaru
;803080700;Piranti Sensor & Aktuator
;803080800;Sistem Kontrol Elektromekanik & Elektronik
;803080900;Sistem Kontrol Terprogram
;803080910;Sistem Kontrol Otomatik
;803081000;Sistem Kontrol Elektropnumatik
;803081100;Gambar & Perencanaan
;803081200;Pemeliharaan sistem Instrumentasi dan Otomatisasi proses
;803081300;Pengukuran Besaran Instrumentasi dan Otomatisasi Proses
;803081400;Sistem Kendali Instrumentasi dan Otomatisasi Proses
;803090100;Pemrograman dan Aplikasi Mikrokontroler Instrumentasi Medik
;803090200;Penerapan Rangkaian Elektronika Instrumentasi Medik
;803090300;Pengoperasian, Perawatan dan Perbaikan Instrumentasi Medik
;803090400;Perekayasaan Kontrol Instrumentasi Medik
;804010100;Gambar Teknik
;804010200;Gambar Interior dan Eksterior Bangunan Gedung
;804010210;Aplikasi Perangkat Lunak dan Perancangan Interior Gedung
;804010300;Gambar Konstruksi Baja
;804010400;Gambar Konstruksi Bangunan
;804010500;Gambar Teknik listrik
;804010700;Gambar Dengan CAD
;804010800;Menggamabar dengan Perangkat Lunak
;804010900;Gambar Teknik Pesawat Udara dan CAD
;804011000;Kerja Bengkel dan Gambar Teknik
;804011100;Gambar Teknik Instrumentasi
;804011200;Gambar Teknik Otomotif
;804011300;Gambar Teknik dan Presentasi
;804011400;Ilmu Bahan Teknik dan Gambar Teknik
;804011500;Gambar Teknik Manufaktur
;804020100;Mekanika Teknik
;804030100;Ukur Tanah
;804030200;Teknik Pengukuran Tanah
;804040100;Ilmu Batuan 
;804040110;Estimasi Biaya Konstruksi
;804040120;Estimasi Biaya Konstruksi dan Properti
;804040130;Estimasi Biaya Pekerjaan Jalan, Irigasi, dan Jembatan
;804040200;Konstruksi Bangunan Gedung
;804040300;Perawatan Gedung
;804040400;Sistem Utilitas Bangunan Gedung
;804040500;Estimasi Biaya Konstruksi, Sanitasi, dan Perawatan Gedung
;804050100;Pengawasan Pekerjaan Konstruksi Baja
;804050200;Pelaksanaan Pekerjaan Konstruksi Baja
;804050300;Teknologi Dasar Konstruksi Baja
;804050301;Menjelaskan ilmu bangunan & bahan bangunan
;804050302;Menjelaskan dasar-dasar konstruksi baja
;804050303;Melakukan perencanaan struktur konstruksi baja
;804050304;Melakukan pekerjaan konstruksi baja
;804050305;Menjelaskan sistem pemeriksaan & perbaikan pd pekerjaan
;804050306;Menjelaskan proses pengawasan pd pemasangan rangka atap baja
;804050307;Merancang as built drawing
;804050308;Menyusun anggaran biaya pekerjaan konstruksi baja
;804050400;Konstruksi Bangunan
;804050401;Menerapkan ilmu statika & tegangan
;804050402;Menjelaskan dasar-dasar ilmu bangunan 
;804050403;Menggambar bangunan secara manual & dengan perangkat lunak 
;804050404;Menggambar rencana kolom & balok beton bertulang
;804050405;Menggambar rencana konstuksi lantai & dinding
;804050406;Menggambar konstruksi kusen, pintu & jendela
;804050407;Menggambar konstruksi langit-langit, atap & tangga
;804050408;Menggambar utilitas gedung
;804050409;Menggambar dekorasi interior & eksterior bangunan
;804050410;Mengidentifikasi material finishing bangunan
;804050411;Merancang partisi ruang
;804050420;Dasar-dasar Konstruksi Bangunan
;804050450;Pelaksanaan dan Pengawasan Konstruksi dan Properti
;804050460;Pengelolaan Bisnis Konstruksi dan Properti
;804050470;Perencanaan Bisnis Konstruksi dan Properti
;804050480;Dasar-dasar Konstruksi Bangunan dan Teknik Pengukuran Tanah
;804050500;Teknologi Konstruksi Kayu
;804050501;Merencanakan pekerjaan konstruksi kayu
;804050502;Melakukan kerja kayu dengan alat tangan & listrik
;804050503;Melakukan kerja kayu dengan mesin tetap (statis)
;804050504;Melaksanakan pekerjaan konstruksi kayu
;804050505;Melaksanakan pekerjaan finishing konstruksi kayu
;804050600;Pelaksanaan Konstruksi Kayu
;804050700;Finishing Konstruksi Kayu
;804050800;Konstruksi Batu
;804050801;Mengidentifikasi bahan bangunan
;804050802;Menerapkan dasar-dasar ilmu bangunan
;804050803;Melakukan perencanaan pekerjaan konstruksi batu & beton
;804050804;Menggunkn perlatn tngan & mknik listrik pd konst. batu beton
;804050805;Melakukan pengelolaan pekerjaan konstruksi batu & beton
;804050806;Melaksanakan pekerjaan konstruksi batu & beton
;804050807;Melaksanakan pekerjaan finishing bangunan
